CINDA BACKUP   BCK00420241224 113913  42218
    960) Area:4 Z=100 FM-246    bl:11    ln:24   
    961) Area:4 Z=100 FM-248    bl:4     ln:9    
    962) Area:4 Z=100 FM-249    bl:1     ln:2    
    963) Area:4 Z=100 FM-250    bl:6     ln:13   
    964) Area:4 Z=100 FM-251    bl:2     ln:6    
    965) Area:4 Z=100 FM-252    bl:3     ln:7    
    966) Area:4 Z=100 FM-253    bl:3     ln:7    
    967) Area:4 Z=100 FM-254    bl:22    ln:45   
    968) Area:4 Z=100 FM-255    bl:8     ln:17   
    969) Area:4 Z=100 FM-256    bl:23    ln:56   
    970) Area:4 Z=100 FM-257    bl:9     ln:16   
    971) Area:4 Z=100 FM-258    bl:8     ln:13   
    972) Area:4 Z=100 FM-259    bl:3     ln:4    
    973) Area:4 Z=101 MD-256    bl:1     ln:1    
    974) Area:4 Z=101 MD-259    bl:4     ln:18   
    975) Area:4 Z=102 NO-250    bl:3     ln:9    
    976) Area:4 Z=102 NO-250-L  bl:2     ln:6    
    977) Area:4 Z=102 NO-252    bl:11    ln:44   
    978) Area:4 Z=102 NO-254    bl:3     ln:9    
    979) Area:4 Z=102 NO-256    bl:1     ln:1    
    980) Area:4 Z=102 NO-258    bl:2     ln:5    
    981) Area:4 Z=102 NO-260    bl:1     ln:4    
    982) Area:4 Z=102 NO-262    bl:1     ln:4    
    983) Area:4 Z=103 LR-257    bl:1     ln:2    
    984) Area:4 Z=104 RF-254    bl:1     ln:1    
    985) Area:4 Z=104 RF-255    bl:1     ln:1    
    986) Area:4 Z=104 RF-256    bl:4     ln:10   
    987) Area:4 Z=104 RF-260    bl:2     ln:5    
    988) Area:4 Z=104 RF-262    bl:1     ln:1    
    989) Area:4 Z=105 DB-268    bl:1     ln:4    
    990) Area:4 Z=999 FPROD     bl:4     ln:6    
    991) Area:4 Z=999 MANY      bl:612   ln:946  
