CINDA BACKUP   BCK00920241224  86374  82138
    386) Area:9 Z=72  HF-177    bl:33    ln:35   
    387) Area:9 Z=72  HF-178    bl:65    ln:71   
    388) Area:9 Z=72  HF-179    bl:43    ln:45   
    389) Area:9 Z=72  HF-180    bl:111   ln:120  
    390) Area:9 Z=73  TA-0      bl:213   ln:225  
    391) Area:9 Z=73  TA-180    bl:14    ln:15   
    392) Area:9 Z=73  TA-181    bl:549   ln:560  
    393) Area:9 Z=73  TA-182    bl:1     ln:1    
    394) Area:9 Z=74  W-0       bl:200   ln:209  
    395) Area:9 Z=74  W-180     bl:17    ln:18   
    396) Area:9 Z=74  W-181     bl:1     ln:1    
    397) Area:9 Z=74  W-182     bl:186   ln:197  
    398) Area:9 Z=74  W-183     bl:69    ln:71   
    399) Area:9 Z=74  W-184     bl:158   ln:167  
    400) Area:9 Z=74  W-186     bl:198   ln:205  
    401) Area:9 Z=74  W-189     bl:2     ln:2    
    402) Area:9 Z=75  RE-0      bl:40    ln:41   
    403) Area:9 Z=75  RE-185    bl:67    ln:70   
    404) Area:9 Z=75  RE-186    bl:1     ln:1    
    405) Area:9 Z=75  RE-187    bl:52    ln:53   
    406) Area:9 Z=76  OS-0      bl:11    ln:11   
    407) Area:9 Z=76  OS-184    bl:3     ln:3    
    408) Area:9 Z=76  OS-186    bl:32    ln:32   
    409) Area:9 Z=76  OS-187    bl:28    ln:28   
    410) Area:9 Z=76  OS-188    bl:84    ln:87   
    411) Area:9 Z=76  OS-189    bl:49    ln:52   
    412) Area:9 Z=76  OS-190    bl:95    ln:96   
    413) Area:9 Z=76  OS-192    bl:115   ln:124  
    414) Area:9 Z=76  OS-193    bl:1     ln:1    
    415) Area:9 Z=77  IR-0      bl:35    ln:38   
    416) Area:9 Z=77  IR-191    bl:66    ln:70   
    417) Area:9 Z=77  IR-192    bl:3     ln:3    
    418) Area:9 Z=77  IR-193    bl:61    ln:71   
    419) Area:9 Z=78  PT-0      bl:91    ln:95   
    420) Area:9 Z=78  PT-190    bl:8     ln:8    
    421) Area:9 Z=78  PT-192    bl:24    ln:28   
    422) Area:9 Z=78  PT-193    bl:2     ln:2    
    423) Area:9 Z=78  PT-194    bl:148   ln:158  
    424) Area:9 Z=78  PT-195    bl:39    ln:41   
    425) Area:9 Z=78  PT-196    bl:110   ln:117  
    426) Area:9 Z=78  PT-198    bl:131   ln:135  
    427) Area:9 Z=79  AU-0      bl:233   ln:246  
    428) Area:9 Z=79  AU-197    bl:1766  ln:1916 
    429) Area:9 Z=79  AU-198    bl:1     ln:1    
    430) Area:9 Z=80  HG-0      bl:49    ln:53   
    431) Area:9 Z=80  HG-196    bl:7     ln:7    
    432) Area:9 Z=80  HG-197    bl:4     ln:4    
    433) Area:9 Z=80  HG-198    bl:31    ln:33   
    434) Area:9 Z=80  HG-199    bl:22    ln:22   
    435) Area:9 Z=80  HG-200    bl:31    ln:33   
    436) Area:9 Z=80  HG-201    bl:11    ln:12   
    437) Area:9 Z=80  HG-202    bl:34    ln:38   
    438) Area:9 Z=80  HG-204    bl:53    ln:58   
    439) Area:9 Z=81  TL-0      bl:32    ln:32   
    440) Area:9 Z=81  TL-203    bl:56    ln:59   
    441) Area:9 Z=81  TL-205    bl:119   ln:127  
    442) Area:9 Z=82  PB-0      bl:760   ln:796  
    443) Area:9 Z=82  PB-204    bl:169   ln:180  
    444) Area:9 Z=82  PB-205    bl:4     ln:4    
    445) Area:9 Z=82  PB-206    bl:460   ln:476  
    446) Area:9 Z=82  PB-207    bl:277   ln:296  
    447) Area:9 Z=82  PB-208    bl:2305  ln:2491 
    448) Area:9 Z=82  PB-210    bl:17    ln:17   
    449) Area:9 Z=82  PB-212    bl:3     ln:3    
    450) Area:9 Z=83  BI-0      bl:121   ln:121  
    451) Area:9 Z=83  BI-208    bl:4     ln:4    
    452) Area:9 Z=83  BI-209    bl:1045  ln:1100 
    453) Area:9 Z=83  BI-210    bl:6     ln:6    
    454) Area:9 Z=84  PO-208    bl:1     ln:1    
    455) Area:9 Z=84  PO-210    bl:13    ln:13   
    456) Area:9 Z=88  RA-215    bl:2     ln:2    
    457) Area:9 Z=88  RA-217    bl:2     ln:2    
    458) Area:9 Z=88  RA-218    bl:2     ln:2    
    459) Area:9 Z=88  RA-219    bl:2     ln:2    
    460) Area:9 Z=88  RA-226    bl:47    ln:48   
    461) Area:9 Z=88  RA-228    bl:1     ln:1    
    462) Area:9 Z=89  AC-214    bl:1     ln:1    
    463) Area:9 Z=89  AC-215    bl:1     ln:1    
    464) Area:9 Z=89  AC-216    bl:1     ln:1    
    465) Area:9 Z=89  AC-217    bl:1     ln:1    
